"environment.time","Ca_Concentrations.Ca_i","I_Ca.I_Ca_tot","membrane.I_tot","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_SRCarel","SR_Fluxes.Ry_Ro"
 2.09208510914033354e+01, 2.02885333047316782e-04,-2.71583148027033150e-01,-1.90261100877590650e+02,-3.29061795759540354e+00, 4.92444013686104576e-01, 2.22257598212857590e-05, 1.80684316624974692e-06
 2.09357059866443080e+01, 2.02888177265664224e-04,-3.14318930349323788e-01,-1.76549198046252258e+02,-5.60548045416424334e-01, 4.92444341307444133e-01, 2.22407046758065512e-05, 1.80811428260908533e-06
 2.09426122195617346e+01, 2.02889627578683968e-04,-3.34841141311412349e-01,-1.69899627231263423e+02, 6.36415443935051672e-01, 4.92444493622993418e-01, 2.22485635126559217e-05, 1.80878127277506160e-06
 2.09495184524791611e+01, 2.02891160984026124e-04,-3.55603442693193050e-01,-1.63181432979010424e+02, 1.78677200037300143e+00, 4.92444645937836378e-01, 2.22570569595306832e-05, 1.80950073080374141e-06
 2.09564246853965876e+01, 2.02892778110371554e-04,-3.76496359209925413e-01,-1.56457278085111540e+02, 2.89058691631856313e+00, 4.92444798251250038e-01, 2.22662123628161036e-05, 1.81027454857160584e-06
 2.09676494026031683e+01, 2.02895584003837885e-04,-4.10514972015037616e-01,-1.45642811846591542e+02, 4.58623165133275990e+00, 4.92445045801416958e-01, 2.22825658059800386e-05, 1.81165283262097992e-06
 2.09788741198097490e+01, 2.02898606672787955e-04,-4.44390893680541132e-01,-1.35117600134865597e+02, 6.16220956406793441e+00, 4.92445293341774171e-01, 2.23008237007573720e-05, 1.81318668710048897e-06
 2.09968944428070969e+01, 2.02903898250427861e-04,-4.98065760232060006e-01,-1.19106816581138730e+02, 8.45218061537777743e+00, 4.92445690714721274e-01, 2.23343284023398001e-05, 1.81599145322947465e-06
 2.10149147658044448e+01, 2.02909706534429844e-04,-5.50581883209098955e-01,-1.04428680011014890e+02, 1.04654137830464258e+01, 4.92446088029635187e-01, 2.23732816781098504e-05, 1.81923996772773250e-06
 2.10329350888017927e+01, 2.02916001848102705e-04,-6.01912206634801161e-01,-9.11928094918061873e+01, 1.22263468557978694e+01, 4.92446485262137246e-01, 2.24179286141735282e-05, 1.82295232161595167e-06
 2.10509554117991406e+01, 2.02922755072046899e-04,-6.52175761847672897e-01,-7.93910183083232965e+01, 1.37609542700934675e+01, 4.92446882384075801e-01, 2.24685930833136333e-05, 1.82715476880790456e-06
 2.10806775868082070e+01, 2.02934822561430691e-04,-7.33346723696941760e-01,-6.28552314174663422e+01, 1.58640717617411973e+01, 4.92447537058632534e-01, 2.25659567627375972e-05, 1.83520941299328999e-06
 2.11103997618172734e+01, 2.02947962643741176e-04,-8.13323997735493909e-01,-4.95257992013517025e+01, 1.75222643288950408e+01, 4.92448191188231743e-01, 2.26814326740169948e-05, 1.84474092137991036e-06
 2.11401219368263398e+01, 2.02962095485118184e-04,-8.92852292453035656e-01,-3.88584267148288944e+01, 1.88257125687517366e+01, 4.92448844589868928e-01, 2.28168241642815493e-05, 1.85589449504698929e-06
 2.11698441118354062e+01, 2.02977151743557300e-04,-9.72506233553569022e-01,-3.03478164222121976e+01, 1.98471321689491269e+01, 4.92449497060348573e-01, 2.29729923912307997e-05, 1.86874075176147194e-06
 2.11995662868444725e+01, 2.02993076172435763e-04,-1.05265574487970759e+00,-2.35760478170041843e+01, 2.06444814415952429e+01, 4.92450148375733421e-01, 2.31514763261811846e-05, 1.88340664298569668e-06
 2.12292884618535389e+01, 2.03009836976937607e-04,-1.13356539206691709e+00,-1.81929454312756143e+01, 2.12626117548116298e+01, 4.92450798288778024e-01, 2.33540264312508787e-05, 1.90003620177916374e-06
 2.12590106368626053e+01, 2.03027419946098667e-04,-1.21526197175911510e+00,-1.39181515415053418e+01, 2.17382024479440155e+01, 4.92451446528226477e-01, 2.35823926469072048e-05, 1.91877191764794785e-06
 2.12887328118716717e+01, 2.03045813292167693e-04,-1.29770370603873597e+00,-1.05203752390822043e+01, 2.20997954204806000e+01, 4.92452092800434726e-01, 2.38381261203785970e-05, 1.93974000970921053e-06
 2.13184549868807380e+01, 2.03065000004596605e-04,-1.38066655055212406e+00,-7.81797731187644018e+00, 2.23712786518143538e+01, 4.92452736788615841e-01, 2.41229961348156799e-05, 1.96308474586458890e-06
 2.13481771618898044e+01, 2.03084960632438636e-04,-1.46399336733896690e+00,-5.66356572143947368e+00, 2.25704512471974965e+01, 4.92453378151525345e-01, 2.44388394968692733e-05, 1.98895610159139060e-06
 2.13778993368988708e+01, 2.03105676285285667e-04,-1.54739537540093886e+00,-3.94322304613686825e+00, 2.27126458217229050e+01, 4.92454016523423244e-01, 2.47874188737928578e-05, 2.01749786378549106e-06
 2.14076215119079372e+01, 2.03127128071074465e-04,-1.63074025655098920e+00,-2.56500056992920467e+00, 2.28085357895701861e+01, 4.92454651515384423e-01, 2.51703480924467749e-05, 2.04884175148560920e-06
 2.14373436869170035e+01, 2.03149296674998413e-04,-1.71374172534069724e+00,-1.45815383423756639e+00, 2.28681243274963251e+01, 4.92455282716149301e-01, 2.55892427985564695e-05, 2.08311995289926562e-06
 2.14670658619260699e+01, 2.03172162509164490e-04,-1.79633500488799114e+00,-5.65436850524914991e-01, 2.28975649762171685e+01, 4.92455909691746796e-01, 2.60457979998927234e-05, 2.12047093026021283e-06
 2.14967880369351363e+01, 2.03195706517581020e-04,-1.87824721449458432e+00, 1.57202089246938570e-01, 2.29036718294529891e+01, 4.92456531986355195e-01, 2.65415505770444208e-05, 2.16102061914520483e-06
 2.15265102119442027e+01, 2.03219909056443870e-04,-1.95949832716618100e+00, 7.45418679664513029e-01, 2.28896878897576244e+01, 4.92457149121990068e-01, 2.70781420635621950e-05, 2.20490302098853382e-06
 2.15562323869532690e+01, 2.03244750994901270e-04,-2.03982096047066053e+00, 1.22671253583244333e+00, 2.28605843084738218e+01, 4.92457760600318373e-01, 2.76569401531449042e-05, 2.25223065956935114e-06
 2.15859545619623354e+01, 2.03270212966355133e-04,-2.11932719747590159e+00, 1.62320723292176572e+00, 2.28176570237504137e+01, 4.92458365901256634e-01, 2.82796494347362349e-05, 2.30314262580642445e-06
 2.16156767369714018e+01, 2.03296277355690579e-04,-2.19773822465469015e+00, 1.95214969884024359e+00, 2.27648781812225884e+01, 4.92458964485816608e-01, 2.89474495493394206e-05, 2.35773649739254221e-06
 2.16453989119804682e+01, 2.03322926301356910e-04,-2.27526378250481631e+00, 2.22717511832973747e+00, 2.27021538588021805e+01, 4.92459555793640924e-01, 2.96621147220856028e-05, 2.41615682399179259e-06
 2.16751210869895345e+01, 2.03350143234714572e-04,-2.35178301865257744e+00, 2.45902813200255688e+00, 2.26316591271670831e+01, 4.92460139244943307e-01, 3.04248707999454085e-05, 2.47850520381813260e-06
 2.17048432619986009e+01, 2.03377914341737172e-04,-2.42719070332695752e+00, 2.65635414221713129e+00, 2.25551885831361787e+01, 4.92460714242213660e-01, 3.12370154982146832e-05, 2.54488823638738128e-06
