"environment.time","Ca_Concentrations.Ca_i","I_Ca.I_Ca_tot","membrane.I_tot","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_SRCarel","SR_Fluxes.Ry_Ro"
 2.08870559212965681e+01, 1.74130144115634534e-04,-1.44552166499535145e-01,-2.14963388653575549e+02,-1.47091016464005051e+01, 4.92387854282852699e-01, 1.95553946072277583e-05, 1.58972718901713447e-06
 2.09006099986492728e+01, 1.74130773784455308e-04,-1.70649384252607728e-01,-2.13680602368840823e+02,-1.18055901254001476e+01, 4.92388895364485046e-01, 1.95619071971881680e-05, 1.59028141759499012e-06
 2.09141640760019776e+01, 1.74131622575776987e-04,-2.00785454978517491e-01,-2.08266839592554504e+02,-8.94568662175491092e+00, 4.92389936420973118e-01, 1.95695974508630119e-05, 1.59093617942050690e-06
 2.09277181533546823e+01, 1.74132716478896793e-04,-2.34563943452054974e-01,-1.99638915194882600e+02,-6.17884117230874352e+00, 4.92390977449714162e-01, 1.95787003979899392e-05, 1.59171048048038039e-06
 2.09412722307073871e+01, 1.74134078486522128e-04,-2.71330187789823929e-01,-1.88779762603206478e+02,-3.54262838833937366e+00, 4.92392018447064039e-01, 1.95894593600367453e-05, 1.59262375375670862e-06
 2.09548263080600918e+01, 1.74135728285821826e-04,-3.10325956620794763e-01,-1.76560559840968239e+02,-1.06271853126462390e+00, 4.92393059408279432e-01, 1.96021207791719384e-05, 1.59369596269155608e-06
 2.09627892815869430e+01, 1.74136838386658303e-04,-3.33995125206394683e-01,-1.69051058975781245e+02, 3.14045024007772899e-01, 4.92393670950274698e-01, 1.96105515373715431e-05, 1.59440815388229511e-06
 2.09707522551137941e+01, 1.74138054934567670e-04,-3.58001060274741378e-01,-1.61441142346708403e+02, 1.63017915020421800e+00, 4.92394282476280032e-01, 1.96197773333342735e-05, 1.59518581524472655e-06
 2.09787152286406453e+01, 1.74139378473345160e-04,-3.82192929064480491e-01,-1.53823162980353374e+02, 2.88555622927800703e+00, 4.92394893984630877e-01, 1.96298383143013467e-05, 1.59603203836208352e-06
 2.09866782021674965e+01, 1.74140808758645378e-04,-4.06452791907463973e-01,-1.46272413841304200e+02, 4.08048973974263873e+00, 4.92395505473543993e-01, 1.96407708252688809e-05, 1.59694969904580128e-06
 2.09998937928141807e+01, 1.74143415186671640e-04,-4.46600520380643629e-01,-1.34041318150238112e+02, 5.93296720705506608e+00, 4.92396520270725058e-01, 1.96609301017073275e-05, 1.59863747588164285e-06
 2.10210002327391337e+01, 1.74148163921104419e-04,-5.09788782014440445e-01,-1.15665470787335124e+02, 8.56844441850710048e+00, 4.92398140842561338e-01, 1.96986299160062683e-05, 1.60178235752108357e-06
 2.10421066726640866e+01, 1.74153603660183307e-04,-5.71493676661917971e-01,-9.90953523343026461e+01, 1.08348303983182372e+01, 4.92399761195471242e-01, 1.97435495941788358e-05, 1.60551562224994083e-06
 2.10632131125890396e+01, 1.74159691358448772e-04,-6.31713645003698643e-01,-8.44838796270060755e+01, 1.27710389867640881e+01, 4.92401381280533568e-01, 1.97961813183746059e-05, 1.60987607333308613e-06
 2.10843195525139926e+01, 1.74166383214598277e-04,-6.90725481707620048e-01,-7.17679253487962825e+01, 1.44170920627425438e+01, 4.92403001043150879e-01, 1.98568727651422759e-05, 1.61489369095397591e-06
 2.11054259924389456e+01, 1.74173643026165396e-04,-7.48831871778165792e-01,-6.07938311289510338e+01, 1.58122594243107937e+01, 4.92404620422094819e-01, 1.99262837383556448e-05, 1.62062175097330958e-06
 2.11265324323638986e+01, 1.74181439984637325e-04,-8.06344888633314105e-01,-5.13704119881198480e+01, 1.69924126921332643e+01, 4.92406239351207253e-01, 2.00047194817693286e-05, 1.62708459869365189e-06
 2.11476388722888515e+01, 1.74189744310543939e-04,-8.63564687477021087e-01,-4.33102000496475554e+01, 1.79888760012789390e+01, 4.92407857760193857e-01, 2.00925785829947065e-05, 1.63431487384272009e-06
 2.11687453122138045e+01, 1.74198529739355519e-04,-9.20757500323875822e-01,-3.64353160634528521e+01, 1.88284449755855015e+01, 4.92409475573832134e-01, 2.01903899922813157e-05, 1.64235638395290339e-06
 2.12048104755616684e+01, 1.74214602773905967e-04,-1.01889702305795327e+00,-2.69768312013914198e+01, 1.99650864965098194e+01, 4.92412238363817978e-01, 2.03822485316224492e-05, 1.65811294573407147e-06
 2.12408756389095323e+01, 1.74231958636707944e-04,-1.11798116913933709e+00,-1.98155957338047699e+01, 2.08047155384829416e+01, 4.92414998732251363e-01, 2.06077313919570567e-05, 1.67661109979602303e-06
 2.12769408022573963e+01, 1.74250552498583620e-04,-1.21818922662600371e+00,-1.43954301784497201e+01, 2.14189116313319587e+01, 4.92417756190326517e-01, 2.08695144882389716e-05, 1.69806980506214632e-06
 2.13130059656052602e+01, 1.74270353348810278e-04,-1.31943368657319371e+00,-1.02871433632487026e+01, 2.18618552937023196e+01, 4.92420510201568851e-01, 2.11706042377313005e-05, 1.72273481526163579e-06
 2.13490711289531241e+01, 1.74291335095139708e-04,-1.42140969927798833e+00,-7.16773895595490895e+00, 2.21750123967538251e+01, 4.92423260178515787e-01, 2.15142559539595594e-05, 1.75087151676652633e-06
 2.13851362923009880e+01, 1.74313468223123789e-04,-1.52376120790666469e+00,-4.79334048989128725e+00, 2.23893453153039736e+01, 4.92426005481786999e-01, 2.19036329373358538e-05, 1.78273767783688960e-06
 2.14212014556488519e+01, 1.74336716481896333e-04,-1.62607034983556775e+00,-2.98110247971702647e+00, 2.25286551164728301e+01, 4.92428745420332048e-01, 2.23418535617397062e-05, 1.81858772968514134e-06
 2.14572666189967158e+01, 1.74361039695424377e-04,-1.72801233823732625e+00,-1.59218467718715218e+00, 2.26102621542929434e+01, 4.92431479252132376e-01, 2.28319928059505236e-05, 1.85867284387402063e-06
 2.14933317823445798e+01, 1.74386398079483067e-04,-1.82921422872037498e+00,-5.22602324252323669e-01, 2.26480268592566993e+01, 4.92434206186118273e-01, 2.33769741706270103e-05, 1.90323209889733063e-06
 2.15293969456924437e+01, 1.74412753513997492e-04,-1.92948196799730187e+00, 3.06498269773409771e-01, 2.26513541662458771e+01, 4.92436925384031998e-01, 2.39796327987767560e-05, 1.95249739087696159e-06
 2.15654621090403076e+01, 1.74440070021393811e-04,-2.02850724339456745e+00, 9.53799977617108663e-01, 2.26286347765495464e+01, 4.92439635962409195e-01, 2.46426756445908484e-05, 2.00669055266053431e-06
 2.16015272723881715e+01, 1.74468312834010159e-04,-2.12615443813935112e+00, 1.46367700447393423e+00, 2.25853370781922180e+01, 4.92442336993060559e-01, 2.53688493291238038e-05, 2.06603640446197105e-06
 2.16375924357360354e+01, 1.74497446608748999e-04,-2.22232297002312684e+00, 1.86945277442660229e+00, 2.25256558186436813e+01, 4.92445027504019195e-01, 2.61607760524384304e-05, 2.13074970203344877e-06
 2.16736575990838993e+01, 1.74527436670835319e-04,-2.31699343553662951e+00, 2.19598673642454578e+00, 2.24524542188089917e+01, 4.92447706481017655e-01, 2.70209877989654593e-05, 2.20103833490932345e-06
 2.17325492911957596e+01, 1.74578171655303247e-04,-2.46815927207594532e+00, 2.60595085428762463e+00, 2.23108727048295563e+01, 4.92452053488844688e-01, 2.85790835596710422e-05, 2.32834537114135133e-06
 2.17914409833076199e+01, 1.74630994631099677e-04,-2.61501633936784916e+00, 2.91030160172851771e+00, 2.21486357960153626e+01, 4.92456362081582999e-01, 3.03368203298472288e-05, 2.47196156386635400e-06
 2.18503326754194802e+01, 1.74685805024451640e-04,-2.75769000618391136e+00, 3.14476539429924573e+00, 2.19705729907600578e+01, 4.92460627150019148e-01, 3.23044561131981489e-05, 2.63273058865595354e-06
 2.19092243675313405e+01, 1.74742516770594200e-04,-2.89637687158593859e+00, 3.33201427323926014e+00, 2.17799227203819399e+01, 4.92464843317405920e-01, 3.44920109533661720e-05, 2.81147759803102845e-06
 2.19681160596432008e+01, 1.74801058928684912e-04,-3.03128261954120815e+00, 3.48655346082128226e+00, 2.15790794727737989e+01, 4.92469004945638111e-01, 3.69094369057501939e-05, 3.00902285589881198e-06
 2.20270077517550611e+01, 1.74861374564223989e-04,-3.16262527899060508e+00, 3.61761765462802209e+00, 2.13698032938423985e+01, 4.92473106138322625e-01, 3.95665887052931055e-05, 3.22617922929641204e-06
 2.20858994438669214e+01, 1.74923418093274037e-04,-3.29063990212241153e+00, 3.73105465790555790e+00, 2.11533526988696607e+01, 4.92477140743350195e-01, 4.24732257647405186e-05, 3.46375241410750389e-06
