"environment.time","calcium.Ca_i","calcium.Ca_sr","membrane.V","ryr.J_serca","ryr.J_SRleak"
 2.02003456723034083e+03, 1.16517742305248447e-04, 3.53983689042341232e-01,-7.61296727258040988e+01, 2.03331003386862387e-04, 2.36483739882362575e-06
 2.02004314894123831e+03, 1.16517413055212385e-04, 3.53984139599198000e-01,-7.53589425851435095e+01, 2.03329643601017157e-04, 2.36484003857484354e-06
 2.02005173065213580e+03, 1.16517086731138950e-04, 3.53984590050418102e-01,-7.45884864482507055e+01, 2.03328295687872423e-04, 2.36484266844491717e-06
 2.02006031236303329e+03, 1.16516763329543516e-04, 3.53985040660296291e-01,-7.38182764527225999e+01, 2.03326959618641261e-04, 2.36484528991695982e-06
 2.02006889407393078e+03, 1.16516442846055515e-04, 3.53985491377463657e-01,-7.30482861074051186e+01, 2.03325635378341082e-04, 2.36484790199038884e-06
 2.02010555381493168e+03, 1.16515106764229746e-04, 3.53987416778014985e-01,-6.97609242511970535e+01, 2.03320112157462433e-04, 2.36485894304847511e-06
 2.02013239559970930e+03, 1.16514162505544140e-04, 3.53988826362218179e-01,-6.73551252806276466e+01, 2.03316206035610410e-04, 2.36486689430907807e-06
 2.02015923738448691e+03, 1.16513247301610587e-04, 3.53990235938768272e-01,-6.49493586859428547e+01, 2.03312417742348642e-04, 2.36487471848234883e-06
 2.02018607916926453e+03, 1.16512361594841307e-04, 3.53991645500646768e-01,-6.25423272402469763e+01, 2.03308749069153492e-04, 2.36488239288989163e-06
 2.02021292095404215e+03, 1.16511506024248609e-04, 3.53993055022324032e-01,-6.01316027098025572e+01, 2.03305202605638029e-04, 2.36488988565950965e-06
 2.02023976273881976e+03, 1.16510681503153356e-04, 3.53994464501998840e-01,-5.77122634026075119e+01, 2.03301782052257071e-04, 2.36489715316603810e-06
 2.02026660452359738e+03, 1.16509889346765955e-04, 3.53995873943446449e-01,-5.52743474099112575e+01, 2.03298492738527257e-04, 2.36490413395297101e-06
 2.02029344630837500e+03, 1.16509131498613273e-04, 3.53997283347652902e-01,-5.27983285446998067e+01, 2.03295342541442135e-04, 2.36491073904248770e-06
 2.02032028809315261e+03, 1.16508410934707679e-04, 3.53998692714613650e-01,-5.02474454828574366e+01, 2.03292343523910020e-04, 2.36491683565330358e-06
 2.02034712987793023e+03, 1.16507732382936077e-04, 3.54000102044665366e-01,-4.75551376889135327e+01, 2.03289514851146577e-04, 2.36492221715462377e-06
 2.02037397166270785e+03, 1.16507103616575688e-04, 3.54001511338357611e-01,-4.46048464075968667e+01, 2.03286888034703042e-04, 2.36492654277739322e-06
 2.02040081344748546e+03, 1.16506537849656521e-04, 3.54002920596331261e-01,-4.11980457475521931e+01, 2.03284516643477864e-04, 2.36492920372504131e-06
 2.02042765523226308e+03, 1.16506058424673356e-04, 3.54004329819498198e-01,-3.70081996389132115e+01, 2.03282495308141205e-04, 2.36492898373319321e-06
