"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 2.14538294973399033e+01, 2.19487395948476596e-04, 3.23120476758110513e+01, 5.13083936532709006e-01, 1.70880283607910421e-04, 2.73799912555602248e-06
 2.14851816016597894e+01, 2.19509911634503023e-04, 3.21322342428693801e+01, 5.13084188020359155e-01, 1.70996973388374407e-04, 2.73781232709625492e-06
 2.15331203728804930e+01, 2.19545251352753525e-04, 3.18442629880376558e+01, 5.13084563597949961e-01, 1.71180166975701411e-04, 2.73752617032714351e-06
 2.15810591441011965e+01, 2.19581671863008747e-04, 3.15428764390672427e+01, 5.13084927083848341e-01, 1.71369015244660886e-04, 2.73723915752641010e-06
 2.16289979153219001e+01, 2.19619155081273451e-04, 3.12299074604301907e+01, 5.13085276985839833e-01, 1.71563427678649586e-04, 2.73695103397887230e-06
 2.16769366865426036e+01, 2.19657690989960157e-04, 3.09066302365753494e+01, 5.13085611732158386e-01, 1.71763355879757916e-04, 2.73666134870791664e-06
 2.17248754577633072e+01, 2.19697276014872044e-04, 3.05741752960049737e+01, 5.13085929671578289e-01, 1.71968785134010016e-04, 2.73636988159023255e-06
 2.17728142289840108e+01, 2.19737910226844920e-04, 3.02336200336499026e+01, 5.13086229074600886e-01, 1.72179719855795774e-04, 2.73607648259918430e-06
 2.18207530002047143e+01, 2.19779596418287639e-04, 2.98859199620500249e+01, 5.13086508132215346e-01, 1.72396178789666375e-04, 2.73578084836765053e-06
 2.18686917714254179e+01, 2.19822340660758958e-04, 2.95318834905651961e+01, 5.13086764952067620e-01, 1.72618197923832630e-04, 2.73548268123552859e-06
 2.19410399395353579e+01, 2.19888872535085205e-04, 2.89871108373213957e+01, 5.13087106024193718e-01, 1.72963905714513605e-04, 2.73502749229594808e-06
 2.20133881076452980e+01, 2.19957871439381845e-04, 2.84317422007587766e+01, 5.13087384726484852e-01, 1.73322602253480002e-04, 2.73456554028582277e-06
 2.20857362757552380e+01, 2.20029379037369447e-04, 2.78676858986075864e+01, 5.13087593389039087e-01, 1.73694522048658731e-04, 2.73409625830379597e-06
 2.21957652001005599e+01, 2.20143038919229177e-04, 2.69976196515820916e+01, 5.13087757914246989e-01, 1.74286059954372445e-04, 2.73336727132848734e-06
 2.23057941244458817e+01, 2.20262761341115788e-04, 2.61178506888111777e+01, 5.13087710246397988e-01, 1.74909651347550686e-04, 2.73261911066763769e-06
 2.24158230487912036e+01, 2.20388701176764211e-04, 2.52339616640413738e+01, 5.13087416236846838e-01, 1.75566180453918538e-04, 2.73185025770113271e-06
 2.25258519731365254e+01, 2.20520997434613998e-04, 2.43509359781680352e+01, 5.13086838506401688e-01, 1.76256456001872399e-04, 2.73106086257090116e-06
 2.26358808974818473e+01, 2.20659767171802813e-04, 2.34728644468940679e+01, 5.13085936341403870e-01, 1.76981179666940090e-04, 2.73025041036888479e-06
 2.27459098218271691e+01, 2.20805120034687374e-04, 2.26031793484697445e+01, 5.13084665531382100e-01, 1.77741022086506104e-04, 2.72941787187898239e-06
 2.28559387461724910e+01, 2.20957149650364507e-04, 2.17448011097479181e+01, 5.13082978125039335e-01, 1.78536578408829242e-04, 2.72856451170754412e-06
 2.29659676705178128e+01, 2.21115915605887522e-04, 2.09003037492145154e+01, 5.13080822380693968e-01, 1.79368274341245990e-04, 2.72769086683467077e-06
 2.30759965948631347e+01, 2.21281466607269490e-04, 2.00721663094769696e+01, 5.13078142694913919e-01, 1.80236486898844634e-04, 2.72679558879739636e-06
 2.32447050250496297e+01, 2.21548550445887073e-04, 1.88386014516668148e+01, 5.13072878914384134e-01, 1.81639289387844295e-04, 2.72538525102348585e-06
 2.34134134552361246e+01, 2.21831669208253805e-04, 1.76536333440746027e+01, 5.13066009330032768e-01, 1.83129196773569581e-04, 2.72393162235618034e-06
 2.35821218854226196e+01, 2.22130780562865038e-04, 1.65217816001729574e+01, 5.13057277332321204e-01, 1.84706544409926241e-04, 2.72243469052825699e-06
 2.37508303156091145e+01, 2.22445689155099620e-04, 1.54455258343162054e+01, 5.13046402448677497e-01, 1.86370914733202561e-04, 2.72090428023149996e-06
