"environment.time","calcium.Ca_i","calcium.Ca_sr","membrane.V","ryr.J_serca","ryr.J_SRleak"
 1.02050509416537602e+03, 1.33508945705311679e-04, 5.15969284925780758e-01,-1.22454458337454875e+00, 2.48075778876971490e-04, 2.75771816367927744e-06
 1.02050776598805896e+03, 1.33509094463748047e-04, 5.15969497750119466e-01,-1.49943760906418394e-01, 2.48076406999778675e-04, 2.75770550958400026e-06
 1.02050887716513978e+03, 1.33509159863480281e-04, 5.15969586260943913e-01, 3.00343228549972641e-01, 2.48076683624572493e-04, 2.75770010904753480e-06
 1.02050998834222059e+03, 1.33509227395421664e-04, 5.15969674771700304e-01, 7.52345302373373048e-01, 2.48076969541386806e-04, 2.75769464798086208e-06
 1.02051109951930141e+03, 1.33509297084211857e-04, 5.15969763282387084e-01, 1.20590472420316219e+00, 2.48077264857610212e-04, 2.75768913648826564e-06
 1.02051377595348811e+03, 1.33509473923325441e-04, 5.15969976473157788e-01, 2.30370585826350549e+00, 2.48078015319367837e-04, 2.75767571100603422e-06
 1.02051645238767480e+03, 1.33509663593909720e-04, 5.15970189663491507e-01, 3.40760930949019070e+00, 2.48078821700091262e-04, 2.75766214348008163e-06
 1.02051912882186150e+03, 1.33509866237032081e-04, 5.15970402853362486e-01, 4.51560405076435512e+00, 2.48079684614736003e-04, 2.75764852683400360e-06
 1.02052372817620096e+03, 1.33510244889467361e-04, 5.15970769211195002e-01, 6.42309575947592482e+00, 2.48081300061756026e-04, 2.75762525731942809e-06
 1.02053260417972388e+03, 1.33511082367416005e-04, 5.15971476217297553e-01, 1.00841073547776130e+01, 2.48084882789254327e-04, 2.75758198469966314e-06
 1.02054148018324679e+03, 1.33512054476251382e-04, 5.15972183216091840e-01, 1.36638072754610320e+01, 2.48089052250772234e-04, 2.75754241146985094e-06
 1.02055035618676970e+03, 1.33513148700933518e-04, 5.15972890206230494e-01, 1.71071444773232386e+01, 2.48093753916696987e-04, 2.75750792871146768e-06
 1.02055923219029262e+03, 1.33514348255310626e-04, 5.15973597186357269e-01, 2.03717834623611580e+01, 2.48098914643672197e-04, 2.75747876956491573e-06
 1.02056810819381553e+03, 1.33515634857163162e-04, 5.15974304155179531e-01, 2.34289083099437896e+01, 2.48104454767230948e-04, 2.75745458786464401e-06
 1.02057698419733845e+03, 1.33516990852364676e-04, 5.15975011111497794e-01, 2.62622060254343239e+01, 2.48110297358355178e-04, 2.75743474320870848e-06
 1.02058586020086136e+03, 1.33518400480119205e-04, 5.15975718054213162e-01, 2.88660101494402177e+01, 2.48116373737268449e-04, 2.75741843909009649e-06
 1.02059473620438428e+03, 1.33519850456836810e-04, 5.15976424982318327e-01, 3.12429981255620817e+01, 2.48122626018141656e-04, 2.75740483100534849e-06
 1.02060361220790719e+03, 1.33521330111906666e-04, 5.15977131894876262e-01, 3.34018810135354443e+01, 2.48129007701119238e-04, 2.75739312450500708e-06
 1.02061248821143010e+03, 1.33522831242088332e-04, 5.15977838790993126e-01, 3.53553327860289741e+01, 2.48135483038127640e-04, 2.75738264246622894e-06
 1.02062627041736994e+03, 1.33525192383285660e-04, 5.15978936388629683e-01, 3.80175076205419913e+01, 2.48145669628872497e-04, 2.75736744958443075e-06
 1.02064005262330977e+03, 1.33527577543672565e-04, 5.15980033941180860e-01, 4.02788892492805957e+01, 2.48155961058013782e-04, 2.75735241944859706e-06
 1.02065383482924960e+03, 1.33529978371230401e-04, 5.15981131445147123e-01, 4.21966189318241831e+01, 2.48166320928783516e-04, 2.75733697221055685e-06
 1.02066761703518944e+03, 1.33532390900396424e-04, 5.15982228896833761e-01, 4.38235789765239048e+01, 2.48176731960662888e-04, 2.75732086624689352e-06
 1.02068139924112927e+03, 1.33534813484378261e-04, 5.15983326292332678e-01, 4.52061117946870752e+01, 2.48187186978644997e-04, 2.75730391976767589e-06
 1.02069518144706910e+03, 1.33537245843396671e-04, 5.15984423627505295e-01, 4.63833160219274490e+01, 2.48197684765627199e-04, 2.75728602452464370e-06
 1.02071694641576778e+03, 1.33541108397689087e-04, 5.15986156414246833e-01, 4.79012797108798694e+01, 2.48214356364952974e-04, 2.75725597435511434e-06
 1.02073871138446646e+03, 1.33545002061232013e-04, 5.15987889021229496e-01, 4.90836277295281675e+01, 2.48231163981886950e-04, 2.75722336414208860e-06
 1.02076047635316513e+03, 1.33548933886148741e-04, 5.15989621428812439e-01, 5.00126394758917598e+01, 2.48248138367835377e-04, 2.75718884588967145e-06
 1.02078224132186381e+03, 1.33552907269422647e-04, 5.15991353615956161e-01, 5.07351379526166610e+01, 2.48265294344485697e-04, 2.75715410598701436e-06
 1.02080400629056248e+03, 1.33556924707987950e-04, 5.15993085561079701e-01, 5.13014514219391984e+01, 2.48282642811701497e-04, 2.75711732376429274e-06
 1.02082577125926116e+03, 1.33560989681684927e-04, 5.15994817241164805e-01, 5.17276782884167829e+01, 2.48300198955460143e-04, 2.75707990027429147e-06
 1.02084753622795984e+03, 1.33565107979748691e-04, 5.15996548632184693e-01, 5.20413293439098084e+01, 2.48317988031050599e-04, 2.75704074879440598e-06
 1.02086930119665851e+03, 1.33569287523671397e-04, 5.15998279709282914e-01, 5.22655640506877077e+01, 2.48336044592167133e-04, 2.75699984982481253e-06
 1.02089106616535719e+03, 1.33573536209112651e-04, 5.16000010446804547e-01, 5.24214510524569732e+01, 2.48354403083794425e-04, 2.75695776634868146e-06
 1.02091283113405586e+03, 1.33577857822770864e-04, 5.16001740818093801e-01, 5.25198046911612408e+01, 2.48373080041051778e-04, 2.75691566406744573e-06
 1.02093459610275454e+03, 1.33582253098782149e-04, 5.16003470795738051e-01, 5.25720658330426431e+01, 2.48392078692622246e-04, 2.75687281015989999e-06
 1.02096980604307043e+03, 1.33589521271386717e-04, 5.16006268532472223e-01, 5.25619299295099509e+01, 2.48423502588971149e-04, 2.75680267015213576e-06
 1.02100501598338633e+03, 1.33596996005564116e-04, 5.16009065036399317e-01, 5.24662995391317821e+01, 2.48455828675782202e-04, 2.75672970670127275e-06
 1.02104022592370222e+03, 1.33604688974920549e-04, 5.16011860174994674e-01, 5.22976606811190123e+01, 2.48489107991927696e-04, 2.75665569580652287e-06
 1.02107543586401812e+03, 1.33612610137576361e-04, 5.16014653809275470e-01, 5.20707250631250389e+01, 2.48523384109574177e-04, 2.75657995665992181e-06
 1.02111064580433401e+03, 1.33620771873161156e-04, 5.16017445793338192e-01, 5.17988046325060552e+01, 2.48558711173952804e-04, 2.75650189565050774e-06
 1.02114585574464991e+03, 1.33629185004454753e-04, 5.16020235973180030e-01, 5.14889957370546156e+01, 2.48595136556807312e-04, 2.75642235230180987e-06
 1.02118106568496580e+03, 1.33637860876139344e-04, 5.16023024187951207e-01, 5.11516005314254940e+01, 2.48632709921403443e-04, 2.75634057671446085e-06
 1.02121272321244248e+03, 1.33645893626995751e-04, 5.16025529276319617e-01, 5.08260819100110979e+01, 2.48667507103176937e-04, 2.75626570353551199e-06
 1.02124438073991917e+03, 1.33654152154066695e-04, 5.16028032510202794e-01, 5.04818417068500551e+01, 2.48703290974083932e-04, 2.75618938251283503e-06
 1.02127603826739585e+03, 1.33662642759952490e-04, 5.16030533754462617e-01, 5.01214786267119194e+01, 2.48740089188740927e-04, 2.75611136418751816e-06
 1.02133072846212292e+03, 1.33677879435197667e-04, 5.16034849690512831e-01, 4.94670984682961432e+01, 2.48806146002954643e-04, 2.75597240175057633e-06
 1.02138541865684999e+03, 1.33693870269180147e-04, 5.16039158489104421e-01, 4.87797488047206897e+01, 2.48875499979294855e-04, 2.75582797948342616e-06
 1.02144010885157707e+03, 1.33710654782974876e-04, 5.16043459318028641e-01, 4.80658094652223156e+01, 2.48948324607031388e-04, 2.75567774329382301e-06
 1.02149479904630414e+03, 1.33728273351888384e-04, 5.16047751273398303e-01, 4.73298950926483712e+01, 2.49024797229569774e-04, 2.75552129442617539e-06
 1.02154948924103121e+03, 1.33746767692769750e-04, 5.16052033374308827e-01, 4.65756514507412476e+01, 2.49105101182331347e-04, 2.75535826770426156e-06
 1.02160417943575828e+03, 1.33766180710240832e-04, 5.16056304558446977e-01, 4.58062005621632906e+01, 2.49189425134607777e-04, 2.75518829827260528e-06
 1.02165886963048536e+03, 1.33786556326726517e-04, 5.16060563675467709e-01, 4.50242708142753685e+01, 2.49277962361337598e-04, 2.75501100835578518e-06
 1.02171355982521243e+03, 1.33807939433356086e-04, 5.16064809478583020e-01, 4.42322282088040097e+01, 2.49370910543098229e-04, 2.75482603358728623e-06
 1.02181217641379055e+03, 1.33849189617859729e-04, 5.16072427383376109e-01, 4.27849659696198046e+01, 2.49550305825193262e-04, 2.75447199515045571e-06
 1.02191079300236868e+03, 1.33894134384077639e-04, 5.16079988608385998e-01, 4.13216785976598260e+01, 2.49745890472838209e-04, 2.75409003344375312e-06
 1.02200940959094680e+03, 1.33943046725774564e-04, 5.16087482866621539e-01, 3.98509533984532425e+01, 2.49958871595362881e-04, 2.75367838913200273e-06
 1.02210802617952493e+03, 1.33996197051616122e-04, 5.16094898270180624e-01, 3.83801875222268194e+01, 2.50190447768574350e-04, 2.75323569169926566e-06
 1.02220664276810305e+03, 1.34053851045393228e-04, 5.16102221106067738e-01, 3.69158526432532597e+01, 2.50441799972039630e-04, 2.75276056140039767e-06
 1.02237045505599133e+03, 1.34160265310991089e-04, 5.16114134977730399e-01, 3.45121382222948796e+01, 2.50906115223310561e-04, 2.75189681528177510e-06
 1.02253426734387961e+03, 1.34280935125519711e-04, 5.16125659361485911e-01, 3.21628576395192169e+01, 2.51433184312488140e-04, 2.75093738195698012e-06
 1.02269807963176788e+03, 1.34416889415890270e-04, 5.16136686919332011e-01, 2.98855839768182143e+01, 2.52027662901220236e-04, 2.74987997914760992e-06
 1.02286189191965616e+03, 1.34569022469155624e-04, 5.16147085560684338e-01, 2.76938649564340373e+01, 2.52693650546937515e-04, 2.74872489921358343e-06
 1.02302570420754444e+03, 1.34738065231947444e-04, 5.16156695016148137e-01, 2.55977959149400469e+01, 2.53434566041625166e-04, 2.74747414802573348e-06
 1.02318951649543271e+03, 1.34924586677210635e-04, 5.16165323601313175e-01, 2.36046001865455075e+01, 2.54253153312250881e-04, 2.74613053083633307e-06
 1.02344459552007049e+03, 1.35250690093584146e-04, 5.16176252032695126e-01, 2.07159357715282155e+01, 2.55686917830667620e-04, 2.74386395973974767e-06
