"environment.time","Ca_Concentrations.Ca_i","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_serca","SR_Fluxes.J_SRleak"
 2.45804658482291279e+03, 2.57639220237737001e-04,-7.07343350891692637e+01, 4.82688186566907429e-01, 4.26869844322575311e-04, 2.57949144011238212e-06
 2.46223672821028504e+03, 2.56743920401473493e-04,-7.08375268073842932e+01, 4.83328373158890046e-01, 4.20916028301225424e-04, 2.58291992365437386e-06
 2.46485161100297637e+03, 2.56193618091220450e-04,-7.08991039629532196e+01, 4.83722618104743984e-01, 4.17256499839199671e-04, 2.58503125478401613e-06
 2.46746649379566770e+03, 2.55649680483522115e-04,-7.09585867142407665e+01, 4.84112867280184045e-01, 4.13639328567829182e-04, 2.58712116814868212e-06
 2.47008137658835903e+03, 2.55112023615478381e-04,-7.10160529993408431e+01, 4.84499163522795373e-01, 4.10063965225111325e-04, 2.58918989409465011e-06
 2.47672730618411924e+03, 2.53773040647174643e-04,-7.11538121626101514e+01, 4.85463604356457412e-01, 4.01160103674732768e-04, 2.59435467360229368e-06
 2.48337323577987945e+03, 2.52472693418233048e-04,-7.12803091228598902e+01, 4.86403531948868928e-01, 3.92513598118380928e-04, 2.59938807894137230e-06
 2.49001916537563966e+03, 2.51209744287686130e-04,-7.13965167738596165e+01, 4.87319551113025384e-01, 3.84116373411256553e-04, 2.60429336122522198e-06
 2.49666509497139987e+03, 2.49983037525679946e-04,-7.15033645953653263e+01, 4.88212302821195210e-01, 3.75960742015143718e-04, 2.60907396273959352e-06
 2.50688435442745185e+03, 2.48164342659775870e-04,-7.16517551640789634e+01, 4.89541409840181796e-01, 3.63870733201321079e-04, 2.61619106439222181e-06
 2.51710361388350384e+03, 2.46424173142092973e-04,-7.17830589254288611e+01, 4.90819173904783468e-01, 3.52304973763067854e-04, 2.62303308690090602e-06
 2.52732287333955583e+03, 2.44759009962507645e-04,-7.18995521548768437e+01, 4.92047689948716560e-01, 3.41239731092420995e-04, 2.62961126979305355e-06
 2.53754213279560781e+03, 2.43165253840235121e-04,-7.20034215815032326e+01, 4.93228958580692045e-01, 3.30651059081566519e-04, 2.63593634860857810e-06
 2.54776139225165980e+03, 2.41639190701709830e-04,-7.20965079890080460e+01, 4.94364824741504727e-01, 3.20514733512078864e-04, 2.64201822771678344e-06
 2.55798065170771179e+03, 2.40177497672821032e-04,-7.21803671751955420e+01, 4.95457118506852590e-01, 3.10808728157503894e-04, 2.64786672471618338e-06
 2.56819991116376377e+03, 2.38777395204804125e-04,-7.22563079936009274e+01, 4.96507670420449465e-01, 3.01513989458849975e-04, 2.65349165150340945e-06
 2.57841917061981576e+03, 2.37435816371672011e-04,-7.23254285049858652e+01, 4.97518128688882733e-01, 2.92610307970487442e-04, 2.65890184748972999e-06
 2.58863843007586775e+03, 2.36150016107314586e-04,-7.23886912247925380e+01, 4.98490102060830387e-01, 2.84079330230448254e-04, 2.66410593780827428e-06
 2.59885768953191973e+03, 2.34917508338586706e-04,-7.24468633718477975e+01, 4.99425169399943469e-01, 2.75904198202179759e-04, 2.66911238378590143e-06
 2.60907694898797172e+03, 2.33735380484169125e-04,-7.25006135974901156e+01, 5.00324690861277954e-01, 2.68066232283927517e-04, 2.67392848094461909e-06
 2.61929620844402370e+03, 2.32601736490562687e-04,-7.25504639618263525e+01, 5.01190183444421011e-01, 2.60551943683931162e-04, 2.67856235403365017e-06
 2.62951546790007569e+03, 2.31514175003609578e-04,-7.25969600836800737e+01, 5.02022961875451812e-01, 2.53345568668693713e-04, 2.68302104946949469e-06
 2.63973472735612768e+03, 2.30470775569294124e-04,-7.26403728682124665e+01, 5.02824352885945181e-01, 2.46433927351762171e-04, 2.68731167389716245e-06
 2.64995398681217966e+03, 2.29469261892197756e-04,-7.26811128398571924e+01, 5.03595521803468227e-01, 2.39802293422582081e-04, 2.69144047377848547e-06
 2.66017324626823165e+03, 2.28507853690069617e-04,-7.27194459678472782e+01, 5.04337684514923335e-01, 2.33438527295640755e-04, 2.69541396168606851e-06
 2.67039250572428364e+03, 2.27584773662179590e-04,-7.27556126396242604e+01, 5.05051974601395059e-01, 2.27330695334330648e-04, 2.69923820971288149e-06
 2.68061176518033562e+03, 2.26698322120295149e-04,-7.27898080441031539e+01, 5.05739476968769863e-01, 2.21467403622104881e-04, 2.70291902900051869e-06
 2.70036190523293044e+03, 2.25081480057119757e-04,-7.28510753592921816e+01, 5.06997277489747322e-01, 2.10778952337646385e-04, 2.70965314850364235e-06
 2.72011204528552526e+03, 2.23584291508521294e-04,-7.29065948318585129e+01, 5.08166104708456134e-01, 2.00889129425905561e-04, 2.71591089840176176e-06
 2.73986218533812007e+03, 2.22197514750594133e-04,-7.29571085156413375e+01, 5.09252206361942905e-01, 1.91735596254716777e-04, 2.72172573665989065e-06
 2.77660774803742561e+03, 2.19880152754154285e-04,-7.30398653540046610e+01, 5.11073811969773972e-01, 1.76456700676622347e-04, 2.73147835646561218e-06
 2.81335331073673115e+03, 2.17866438806436680e-04,-7.31102451154817459e+01, 5.12661406325948033e-01, 1.63201735027169390e-04, 2.73997813445854479e-06
 2.85009887343603668e+03, 2.16114812874132478e-04,-7.31704807446219974e+01, 5.14045490020158868e-01, 1.51689954056030593e-04, 2.74738837266076226e-06
 2.90642571437345305e+03, 2.13854609331556162e-04,-7.32468491413417269e+01, 5.15830612247069498e-01, 1.36870572529501546e-04, 2.75694581753503503e-06
 2.96275255531086941e+03, 2.12015062272053449e-04,-7.33078459307889716e+01, 5.17279181267926713e-01, 1.24845490757333942e-04, 2.76470148524998882e-06
 3.01907939624828578e+03, 2.10509360831594096e-04,-7.33568780575258756e+01, 5.18454787344577950e-01, 1.15040201814096708e-04, 2.77099583283849310e-06
 3.02000000000000000e+03, 2.10487166364993592e-04,-7.33575927636551626e+01, 5.18472015916216500e-01, 1.14895980942267468e-04, 2.77108807798369523e-06
 3.02000093365567545e+03, 2.10487140546947946e-04,-7.33109117744155867e+01, 5.18471980933448040e-01, 1.14895910472220380e-04, 2.77108788844777987e-06
 3.02000186731135091e+03, 2.10487114746045055e-04,-7.32642318377492074e+01, 5.18471956253315991e-01, 1.14895821872728840e-04, 2.77108775165526994e-06
 3.02000407339566164e+03, 2.10487053886660873e-04,-7.31539381992116091e+01, 5.18471925633697261e-01, 1.14895564087633866e-04, 2.77108756900644395e-06
 3.02000627947997236e+03, 2.10486993209947355e-04,-7.30436496070787626e+01, 5.18471921684874992e-01, 1.14895260079034715e-04, 2.77108752032491344e-06
 3.02000848556428309e+03, 2.10486932778640993e-04,-7.29333663740346623e+01, 5.18471936752117113e-01, 1.14894923703717357e-04, 2.77108756554326250e-06
 3.02001297690678621e+03, 2.10486810735425751e-04,-7.27088584702006102e+01, 5.18471994455704910e-01, 1.14894196153951997e-04, 2.77108778477365763e-06
 3.02001746824928932e+03, 2.10486690146644901e-04,-7.24843720514332830e+01, 5.18472072631020242e-01, 1.14893439860344301e-04, 2.77108809564954144e-06
 3.02002660629857655e+03, 2.10486449791913937e-04,-7.20276963329940116e+01, 5.18472246078720445e-01, 1.14891901259442315e-04, 2.77108877365943195e-06
 3.02003574434786378e+03, 2.10486216406784328e-04,-7.15710989501610300e+01, 5.18472420756614816e-01, 1.14890396205535997e-04, 2.77108943367647453e-06
 3.02004488239715101e+03, 2.10485990085007335e-04,-7.11145724042451661e+01, 5.18472591999630472e-01, 1.14888933427962069e-04, 2.77109006322238139e-06
 3.02005402044643824e+03, 2.10485770737312759e-04,-7.06581083197681750e+01, 5.18472762313422764e-01, 1.14887508038589550e-04, 2.77109067981411491e-06
 3.02006315849572547e+03, 2.10485558212344920e-04,-7.02016973805828570e+01, 5.18472933281079351e-01, 1.14886116462376944e-04, 2.77109129196960274e-06
 3.02007229654501270e+03, 2.10485352364541138e-04,-6.97453291475229236e+01, 5.18473104769049620e-01, 1.14884758189370627e-04, 2.77109189825015686e-06
 3.02008847193557267e+03, 2.10485003856025825e-04,-6.89375585048919390e+01, 5.18473408288692261e-01, 1.14882435268254872e-04, 2.77109294869983458e-06
