"environment.time","calcium.Ca_i","calcium.Ca_sr","membrane.V","ryr.J_serca","ryr.J_SRleak"
 3.02017788383378456e+03, 1.20903205057505025e-04, 3.51309590053153875e-01,-6.32522030645542372e+01, 2.00749787558856196e-04, 2.34693576083115367e-06
 3.02020331435457729e+03, 1.20902387754229416e-04, 3.51310898897732482e-01,-6.09697325154768492e+01, 2.00746569745422247e-04, 2.34694269649561910e-06
 3.02022874487537001e+03, 1.20901599751373632e-04, 3.51312207707033419e-01,-5.86815019438981906e+01, 2.00743464854194768e-04, 2.34694944382825785e-06
 3.02025417539616274e+03, 1.20900842044161419e-04, 3.51313516483369670e-01,-5.63810546176874965e+01, 2.00740476717750865e-04, 2.34695595707581320e-06
 3.02027960591695546e+03, 1.20900116057762587e-04, 3.51314825227693972e-01,-5.40559908429401332e+01, 2.00737610825382231e-04, 2.34696217187253778e-06
 3.02030503643774819e+03, 1.20899423898866091e-04, 3.51316133940146158e-01,-5.16833067378632549e+01, 2.00734875292378771e-04, 2.34696799549696374e-06
 3.02033046695854091e+03, 1.20898768790139128e-04, 3.51317442620995124e-01,-4.92218516743065990e+01, 2.00732282533950081e-04, 2.34697329007703132e-06
 3.02035589747933363e+03, 1.20898155821038818e-04, 3.51318751270652541e-01,-4.66004190349072118e+01, 2.00729852158101620e-04, 2.34697784159954148e-06
 3.02038132800012636e+03, 1.20897593262330556e-04, 3.51320059889572878e-01,-4.36991727776620280e+01, 2.00727616030473667e-04, 2.34698129817900163e-06
 3.02040675852091908e+03, 1.20897094939469065e-04, 3.51321368478324014e-01,-4.03213563899520082e+01, 2.00725627418977517e-04, 2.34698303429404602e-06
 3.02043218904171181e+03, 1.20896684745540911e-04, 3.51322677037766873e-01,-3.61565078363508974e+01, 2.00723978382212550e-04, 2.34698181279963237e-06
 3.02044820777691257e+03, 1.20896486700705822e-04, 3.51323501287384377e-01,-3.29384613894896958e+01, 2.00723172136141803e-04, 2.34697921252124895e-06
 3.02046422651211333e+03, 1.20896352464877559e-04, 3.51324325526339631e-01,-2.90749537978553967e+01, 2.00722611751009679e-04, 2.34697386896113782e-06
 3.02048024524731409e+03, 1.20896305943494947e-04, 3.51325149755519595e-01,-2.43870040509569250e+01, 2.00722389334854361e-04, 2.34696299278547456e-06
 3.02048936178651684e+03, 1.20896329610095459e-04, 3.51325618834545272e-01,-2.12903012649653469e+01, 2.00722455956595390e-04, 2.34695480482513216e-06
 3.02049847832571959e+03, 1.20896398760045250e-04, 3.51326087910890927e-01,-1.78550097021076368e+01, 2.00722697828185909e-04, 2.34694404825069850e-06
 3.02050000000000000e+03, 1.20896415347620896e-04, 3.51326166205865320e-01,-1.72481788844449788e+01, 2.00722757640482111e-04, 2.34694196959558319e-06
 3.02050116207546944e+03, 1.20896429445482324e-04, 3.51326225998272790e-01,-1.68790335617506564e+01, 2.00722808828811700e-04, 2.34694034301870402e-06
 3.02050232415093888e+03, 1.20896444446100368e-04, 3.51326285790642290e-01,-1.65038579091390574e+01, 2.00722863495519005e-04, 2.34693863672167408e-06
 3.02050579679601606e+03, 1.20896494783192339e-04, 3.51326464468733557e-01,-1.53472345319307841e+01, 2.00723048089258008e-04, 2.34693309786010904e-06
 3.02050926944109324e+03, 1.20896552709865224e-04, 3.51326643146547213e-01,-1.41440039473594332e+01, 2.00723261926175718e-04, 2.34692701214921129e-06
 3.02051274208617042e+03, 1.20896619233051665e-04, 3.51326821824067048e-01,-1.28915713144770692e+01, 2.00723508886084675e-04, 2.34692038075964345e-06
 3.02051621473124760e+03, 1.20896695046286804e-04, 3.51327000501289899e-01,-1.15904561579041037e+01, 2.00723791641270910e-04, 2.34691321760868964e-06
 3.02051968737632478e+03, 1.20896780761138863e-04, 3.51327179178215987e-01,-1.02425283847329016e+01, 2.00724112548210387e-04, 2.34690553627961330e-06
 3.02052517172819853e+03, 1.20896937545685566e-04, 3.51327461362262894e-01,-8.02420792739041389e+00, 2.00724701870789866e-04, 2.34689239217407699e-06
 3.02053065608007228e+03, 1.20897122524201144e-04, 3.51327743545570392e-01,-5.70736429553862301e+00, 2.00725399827602680e-04, 2.34687808675554095e-06
 3.02053614043194602e+03, 1.20897338048049952e-04, 3.51328025728127769e-01,-3.30828360613557271e+00, 2.00726215479120145e-04, 2.34686274861200195e-06
 3.02054162478381977e+03, 1.20897586148346038e-04, 3.51328307909908932e-01,-8.45354364004749503e-01, 2.00727156652002450e-04, 2.34684654075865562e-06
 3.02054710913569352e+03, 1.20897868385689669e-04, 3.51328590090869419e-01, 1.66211679319224870e+00, 2.00728229360128146e-04, 2.34682967506168760e-06
 3.02055259348756726e+03, 1.20898185875157815e-04, 3.51328872270943782e-01, 4.19432077032496142e+00, 2.00729437900883193e-04, 2.34681243312680318e-06
 3.02055807783944101e+03, 1.20898539270302899e-04, 3.51329154450043868e-01, 6.73135900344009297e+00, 2.00730784793498671e-04, 2.34679515735653674e-06
 3.02056356219131476e+03, 1.20898928685953151e-04, 3.51329436628060710e-01, 9.25386971422807925e+00, 2.00732270481575710e-04, 2.34677820971474690e-06
 3.02057220855941205e+03, 1.20899614096478769e-04, 3.51329881493974816e-01, 1.31587235534953546e+01, 2.00734888165094713e-04, 2.34675303437456455e-06
 3.02058085492750934e+03, 1.20900382697332088e-04, 3.51330326356352807e-01, 1.69218771169410900e+01, 2.00737826409576797e-04, 2.34673051204874426e-06
 3.02058950129560662e+03, 1.20901227258650104e-04, 3.51330771214682702e-01, 2.04941385336712898e+01, 2.00741057362728413e-04, 2.34671104045906829e-06
 3.02059814766370391e+03, 1.20902138718430625e-04, 3.51331216068487884e-01, 2.38412266721982107e+01, 2.00744546112426698e-04, 2.34669461935725688e-06
 3.02060679403180120e+03, 1.20903107359684420e-04, 3.51331660917339250e-01, 2.69433856530821032e+01, 2.00748255222161896e-04, 2.34668104573319264e-06
 3.02061544039989849e+03, 1.20904123708618212e-04, 3.51332105760857438e-01, 2.97932008389293834e+01, 2.00752148191722191e-04, 2.34666996375690981e-06
 3.02062857447403439e+03, 1.20905739745748430e-04, 3.51332781479619383e-01, 3.36450982304048694e+01, 2.00758339894530617e-04, 2.34665676540316745e-06
 3.02064170854817030e+03, 1.20907420533334324e-04, 3.51333457184318299e-01, 3.69532770222154596e+01, 2.00764781185086918e-04, 2.34664591958632460e-06
 3.02065484262230621e+03, 1.20909146614128245e-04, 3.51334132873982574e-01, 3.97761323358880929e+01, 2.00771397095983462e-04, 2.34663620532804702e-06
 3.02066797669644211e+03, 1.20910903797289633e-04, 3.51334808547523747e-01, 4.21772207215846251e+01, 2.00778132950069798e-04, 2.34662713628863694e-06
 3.02068111077057802e+03, 1.20912681218959792e-04, 3.51335484203716686e-01, 4.42196926080468842e+01, 2.00784946887988422e-04, 2.34661833271603307e-06
 3.02069424484471392e+03, 1.20914470387076500e-04, 3.51336159841214357e-01, 4.59578177118456068e+01, 2.00791806188064544e-04, 2.34660929083733118e-06
 3.02070737891884983e+03, 1.20916265064429938e-04, 3.51336835458526064e-01, 4.74403252451703636e+01, 2.00798686816236965e-04, 2.34659975430246177e-06
 3.02072051299298573e+03, 1.20918061016807502e-04, 3.51337511054007123e-01, 4.87064685374421416e+01, 2.00805572456071938e-04, 2.34658974570685754e-06
 3.02074054668359668e+03, 1.20920795466270396e-04, 3.51338541508467661e-01, 5.03028185510126278e+01, 2.00816056363217028e-04, 2.34657393072988892e-06
 3.02076058037420762e+03, 1.20923516292792882e-04, 3.51339571901200021e-01, 5.15723619960135622e+01, 2.00826487997602781e-04, 2.34655776480134548e-06
 3.02078061406481856e+03, 1.20926218083112455e-04, 3.51340602225060306e-01, 5.25817257855680893e+01, 2.00836846493792785e-04, 2.34654062742687453e-06
 3.02080064775542951e+03, 1.20928897913707788e-04, 3.51341632472448262e-01, 5.33930773694630290e+01, 2.00847120580183571e-04, 2.34652285970705304e-06
 3.02082068144604045e+03, 1.20931554437813448e-04, 3.51342662635440506e-01, 5.40382176345589045e+01, 2.00857305061279302e-04, 2.34650496079150623e-06
 3.02084071513665140e+03, 1.20934187168375015e-04, 3.51343692705976207e-01, 5.45520920786224224e+01, 2.00867398054699526e-04, 2.34648662023223829e-06
 3.02086074882726234e+03, 1.20936796353065504e-04, 3.51344722675797472e-01, 5.49637356284641001e+01, 2.00877400509808201e-04, 2.34646789433020786e-06
 3.02088078251787329e+03, 1.20939382978429042e-04, 3.51345752536469269e-01, 5.52951768042803735e+01, 2.00887316223974485e-04, 2.34644906913858021e-06
 3.02090081620848423e+03, 1.20941948206009959e-04, 3.51346782279466086e-01, 5.55609823556823557e+01, 2.00897149669452353e-04, 2.34643038017553803e-06
 3.02093756634292777e+03, 1.20946602412322219e-04, 3.51348670922769446e-01, 5.59164864679483458e+01, 2.00914990366656042e-04, 2.34639607457571691e-06
 3.02097431647737130e+03, 1.20951196853525384e-04, 3.51350559088134229e-01, 5.61331311837545570e+01, 2.00932601363729043e-04, 2.34636215765622050e-06
 3.02101106661181484e+03, 1.20955740317492391e-04, 3.51352446722152933e-01, 5.62398279997709949e+01, 2.00950016514479107e-04, 2.34632841400020565e-06
 3.02104781674625838e+03, 1.20960243438497354e-04, 3.51354333771409399e-01, 5.62635273102852764e+01, 2.00967276795624211e-04, 2.34629458989913992e-06
 3.02108456688070191e+03, 1.20964717687334017e-04, 3.51356220182332424e-01, 5.62272010494290058e+01, 2.00984426414713461e-04, 2.34626094434414788e-06
 3.02112131701514545e+03, 1.20969172978407816e-04, 3.51358105901163342e-01, 5.61469860638086118e+01, 2.01001503585329411e-04, 2.34622768318099635e-06
 3.02115806714958899e+03, 1.20973617021728397e-04, 3.51359990874034356e-01, 5.60330566995376316e+01, 2.01018538027645757e-04, 2.34619480702846495e-06
 3.02119481728403252e+03, 1.20978056304853662e-04, 3.51361875047025929e-01, 5.58921836931925782e+01, 2.01035554752806316e-04, 2.34616229302825871e-06
 3.02123156741847606e+03, 1.20982496770613131e-04, 3.51363758366202816e-01, 5.57295877910272850e+01, 2.01052576675149431e-04, 2.34613015343211839e-06
 3.02126831755291960e+03, 1.20986943785800701e-04, 3.51365640777617672e-01, 5.55495705751657596e+01, 2.01069624491125867e-04, 2.34609838584434938e-06
 3.02130506768736313e+03, 1.20991402085289428e-04, 3.51367522227273466e-01, 5.53555467265182060e+01, 2.01086716463432695e-04, 2.34606696071519553e-06
 3.02134181782180667e+03, 1.20995875901773220e-04, 3.51369402661072971e-01, 5.51500790416553031e+01, 2.01103868920895118e-04, 2.34603584562554863e-06
 3.02140850084466820e+03, 1.21004045396122688e-04, 3.51372811933119755e-01, 5.47540780722873350e+01, 2.01135193316926260e-04, 2.34598010672221005e-06
 3.02147518386752972e+03, 1.21012297962668481e-04, 3.51376217356278719e-01, 5.43346941960502292e+01, 2.01166840292558752e-04, 2.34592514129807713e-06
 3.02154186689039125e+03, 1.21020650455763582e-04, 3.51379618602437216e-01, 5.38969817075178881e+01, 2.01198874930479717e-04, 2.34587067461650741e-06
 3.02160854991325277e+03, 1.21029117713327254e-04, 3.51383015339867821e-01, 5.34446260878987758e+01, 2.01231354553822701e-04, 2.34581659280415328e-06
 3.02167523293611430e+03, 1.21037712587407850e-04, 3.51386407232490761e-01, 5.29805955288770605e+01, 2.01264328842031909e-04, 2.34576270469667896e-06
 3.02174191595897582e+03, 1.21046446784153598e-04, 3.51389793938984174e-01, 5.25070430651200581e+01, 2.01297843069088059e-04, 2.34570877650022368e-06
 3.02185752336160840e+03, 1.21061952698316624e-04, 3.51395652104946388e-01, 5.16677786716168441e+01, 2.01357354970543021e-04, 2.34561466310409778e-06
 3.02197313076424098e+03, 1.21077965324134016e-04, 3.51401491769924912e-01, 5.08099662050464573e+01, 2.01418830219334336e-04, 2.34551923650594563e-06
 3.02208873816687355e+03, 1.21094532870406535e-04, 3.51407310990754673e-01, 4.99378210205349191e+01, 2.01482455686573632e-04, 2.34542174694375429e-06
 3.02220434556950613e+03, 1.21111700243443294e-04, 3.51413107730668139e-01, 4.90551441181675756e+01, 2.01548405624216739e-04, 2.34532159538667764e-06
 3.02231995297213871e+03, 1.21129509058803152e-04, 3.51418879846805587e-01, 4.81654207956254865e+01, 2.01616841710516176e-04, 2.34521838056241397e-06
 3.02253114589915549e+03, 1.21163829504245937e-04, 3.51429353282129708e-01, 4.65308473931814817e+01, 2.01748789972801577e-04, 2.34502036240268704e-06
 3.02274233882617227e+03, 1.21200641697288261e-04, 3.51439721933156535e-01, 4.48957936805840916e+01, 2.01890402641172445e-04, 2.34480894584616699e-06
 3.02295353175318905e+03, 1.21240152952821996e-04, 3.51449969188697531e-01, 4.32708124551724964e+01, 2.02042489772779775e-04, 2.34458193906437216e-06
 3.02316472468020584e+03, 1.21282567538369784e-04, 3.51460076448215974e-01, 4.16641476565164410e+01, 2.02205851351677123e-04, 2.34433823447736166e-06
 3.02337591760722262e+03, 1.21328083806500084e-04, 3.51470022861196996e-01, 4.00824823251729896e+01, 2.02381266367193696e-04, 2.34407651118687893e-06
 3.02369656513723749e+03, 1.21403495605369206e-04, 3.51484763324535154e-01, 3.77406329750567977e+01, 2.02672123474362991e-04, 2.34364452674529269e-06
 3.02401721266725235e+03, 1.21486987760338023e-04, 3.51498984230607436e-01, 3.54821158868582245e+01, 2.02994454536692751e-04, 2.34316877225814354e-06
 3.02433786019726722e+03, 1.21579039112126795e-04, 3.51512575356415280e-01, 3.33156483558047896e+01, 2.03350180543150589e-04, 2.34264893472375543e-06
 3.02465850772728209e+03, 1.21680082562636605e-04, 3.51525408322764965e-01, 3.12471453373920873e+01, 2.03741056827522248e-04, 2.34208388330075141e-06
 3.02497915525729695e+03, 1.21790456384525940e-04, 3.51537334464206930e-01, 2.92809153980410812e+01, 2.04168484719100484e-04, 2.34147537499321662e-06
