"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 1.02085077988119929e+03, 1.10999974557940459e-01, 8.16750243175651121e+02, 1.10998893076884403e-01, 5.29818326567291051e-11, 2.11361178774029691e-02,-3.89831395606414901e+01, 1.71482006917498442e+00, 9.37943430611591911e-02, 1.70327340704182934e+04
 1.02088730887887414e+03, 1.11000943154594425e-01, 8.16752934559044434e+02, 1.10999824436946878e-01, 9.47183208919759025e-11, 2.11364694247305543e-02,-3.79371901828773730e+01, 1.75523238025881234e+00, 9.63790032372240785e-02, 1.70328014382850524e+04
 1.02092383787654899e+03, 1.11001969896480895e-01, 8.16755625786467931e+02, 1.11000807504316956e-01, 1.63557007790048927e-10, 2.11368420783005495e-02,-3.67045158647595358e+01, 1.80286150216639030e+00, 9.94580607792799332e-02, 1.70328803504674761e+04
 1.02096036687422384e+03, 1.11003066120104660e-01, 8.16758316858037347e+02, 1.11001850582347281e-01, 2.70736548640489345e-10, 2.11372399531947440e-02,-3.52576927550990504e+01, 1.85876644603838126e+00, 1.03118206144296995e-01, 1.70329725082401528e+04
 1.02099689587189869e+03, 1.11004245266068016e-01, 8.16761007773871825e+02, 1.11002963898491305e-01, 4.32741256271669582e-10, 2.11376679283543957e-02,-3.35628581530121153e+01, 1.92425488487485308e+00, 1.07470290035443727e-01, 1.70330800130540192e+04
 1.02103342486957354e+03, 1.11005523474331361e-01, 8.16763698534094942e+02, 1.11004161012754898e-01, 6.80000238033101467e-10, 2.11381318626932893e-02,-3.15784985029825229e+01, 2.00093008182818233e+00, 1.12656177793537482e-01, 1.70332054425830720e+04
 1.02106995386724839e+03, 1.11006920339079398e-01, 8.16766389138835279e+02, 1.11005459444662655e-01, 1.06725223702221603e-09, 2.11386388691674337e-02,-2.92546764259301177e+01, 2.09072111262965610e+00, 1.18856285460493635e-01, 1.70333519003817128e+04
 1.02110648286492324e+03, 1.11008459822266856e-01, 8.16769079588227100e+02, 1.11006880911429087e-01, 1.68806469373733505e-09, 2.11391976464774950e-02,-2.65336327776269556e+01, 2.19586057857771655e+00, 1.26295890674108485e-01, 1.70335229817915642e+04
 1.02114301186259809e+03, 1.11010171253021400e-01, 8.16771769882411604e+02, 1.11008452398172128e-01, 2.70453174027377638e-09, 2.11398188419883795e-02,-2.33537202222612308e+01, 2.31873485997486739e+00, 1.35245033996667569e-01, 1.70337225358634751e+04
 1.02116632009562363e+03, 1.11011368609799557e-01, 8.16773486410300507e+02, 1.11009548237722591e-01, 3.68444263161333811e-09, 2.11402534494460441e-02,-2.10585026362774954e+01, 2.40743015259495730e+00, 1.41881788754148780e-01, 1.70338664018238233e+04
 1.02118962832864918e+03, 1.11012660742144775e-01, 8.16775202875098898e+02, 1.11010731713766839e-01, 5.08980777517316193e-09, 2.11407224620889754e-02,-1.85422675887683965e+01, 2.50467728619108243e+00, 1.49335174387951408e-01, 1.70340240176026091e+04
 1.02121293656167472e+03, 1.11014059503726004e-01, 8.16776919276848389e+02, 1.11012024499132639e-01, 7.16575696652091828e-09, 2.11412301835506161e-02,-1.58017009573856093e+01, 2.61061334759254171e+00, 1.57672271215306997e-01, 1.70341956157417044e+04
 1.02122767964909269e+03, 1.11015004901898515e-01, 8.16778004914816279e+02, 1.11012911353973870e-01, 9.06870482990089852e-09, 2.11415733464340519e-02,-1.39532637531955146e+01, 2.68207869962173184e+00, 1.63429108759289593e-01, 1.70343113359083109e+04
