"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 2.03047286407135168e+01, 1.10990291794474880e-01, 8.16601400486669036e+02, 1.10990398703439699e-01,-1.43984633508464519e-10, 2.11326037036036023e-02,-5.81487421631518870e+01, 9.73699571788722795e-01, 5.06747598625481924e-02, 1.70319048770036570e+04
 2.03289090838353417e+01, 1.10990357534936565e-01, 8.16603183240915541e+02, 1.10990367485573463e-01,-1.43843296001666259e-10, 2.11326275620073098e-02,-5.62516583092972056e+01, 1.04710428488053364e+00, 5.46021199594029505e-02, 1.70319042863537688e+04
 2.03530895269571666e+01, 1.10990477418664524e-01, 8.16604965926385262e+02, 1.10990388450284860e-01,-1.43702091166822042e-10, 2.11326710700120990e-02,-5.43541265141095380e+01, 1.12052484329717017e+00, 5.86022260200590034e-02, 1.70319037326467769e+04
 2.03772699700789914e+01, 1.10990652524352876e-01, 8.16606748543098547e+02, 1.10990462648945007e-01,-1.43561005685682552e-10, 2.11327346191482572e-02,-5.24555348228844736e+01, 1.19398461290190583e+00, 6.26772975030852886e-02, 1.70319032549534822e+04
 2.04014504132008163e+01, 1.10990883967421974e-01, 8.16608531091077225e+02, 1.10990591153819207e-01,-1.43419998954735398e-10, 2.11328186143006982e-02,-5.05550005823249791e+01, 1.26751737537708431e+00, 6.68303427499402913e-02, 1.70319029105079535e+04
 2.04256308563226412e+01, 1.10991172913160449e-01, 8.16610313570344601e+02, 1.10990775065235581e-01,-1.43278950129215974e-10, 2.11329234784802672e-02,-4.86512400735567354e+01, 1.34117236428767184e+00, 7.10655134842075459e-02, 1.70319027823222059e+04
 2.04498112994444661e+01, 1.10991520595913079e-01, 8.16612095980925233e+02, 1.10991015524727260e-01,-1.43137509816085910e-10, 2.11330496597893248e-02,-4.67423956938872180e+01, 1.41502094360495700e+00, 7.53885913551550491e-02, 1.70319029894993473e+04
 2.04739917425662910e+01, 1.10991928364234327e-01, 8.16613878322845267e+02, 1.10991313743832684e-01,-1.42994439205557302e-10, 2.11331976478111305e-02,-4.48257089126987296e+01, 1.48916925048298299e+00, 7.98078821646108216e-02, 1.70319037071353596e+04
 2.04883620115987881e+01, 1.10992199747519810e-01, 8.16614937523725757e+02, 1.10991518853665205e-01,-1.42907412999029045e-10, 2.11332961389720866e-02,-4.36815202478754117e+01, 1.53343095353731651e+00, 8.24840732426133511e-02, 1.70319044638556552e+04
 2.05000000000000000e+01, 1.10992435688141544e-01, 8.16615795316457707e+02, 1.10991700443998781e-01,-1.42834353065437391e-10, 2.11333817673439416e-02,-4.27512197645241088e+01, 1.56941741016599856e+00, 8.46812256967137827e-02, 1.70319053115271527e+04
 2.05000239624575968e+01, 1.10992436188958779e-01, 8.16615797082624681e+02, 1.10991700832325763e-01,-1.42834199140440107e-10, 2.11333819491023867e-02,-4.27512175291410941e+01, 1.56941747490183081e+00, 8.46812309509599875e-02, 1.70319053135128961e+04
 2.05029439104521032e+01, 1.10992497209919966e-01, 8.16616012298101850e+02, 1.10991748980752522e-01,-1.42815198195192870e-10, 2.11334040950610300e-02,-4.27506545389466197e+01, 1.56943660733314383e+00, 8.46825608637522403e-02, 1.70319055733890382e+04
 2.05153932446273686e+01, 1.10992757343165604e-01, 8.16616929867184695e+02, 1.10991962751220419e-01,-1.42730370335479875e-10, 2.11334985037159653e-02,-4.27445177329704862e+01, 1.56966275041711145e+00, 8.46970989707762356e-02, 1.70319069115882667e+04
 2.05278425788026340e+01, 1.10993017492900026e-01, 8.16617847420109001e+02, 1.10992186093391357e-01,-1.42639131991921703e-10, 2.11335929185347965e-02,-4.27331155812732391e+01, 1.57009261319357507e+00, 8.47241355775621430e-02, 1.70319085741987874e+04
 2.05402919129778994e+01, 1.10993277744411686e-01, 8.16618764955531560e+02, 1.10992417851559291e-01,-1.42538905547063589e-10, 2.11336873704709473e-02,-4.27156361563651004e+01, 1.57075760195501091e+00, 8.47656022211526611e-02, 1.70319106112635782e+04
 2.05527412471531647e+01, 1.10993538201622735e-01, 8.16619682473007174e+02, 1.10992656434177744e-01,-1.42426725742426895e-10, 2.11337818972407547e-02,-4.26915037370305086e+01, 1.57167998217793148e+00, 8.48228730824637511e-02, 1.70319130582799262e+04
 2.05651905813284301e+01, 1.10993798980282249e-01, 8.16620599972390096e+02, 1.10992900391534241e-01,-1.42299049953604755e-10, 2.11338765408531325e-02,-4.26602244861579578e+01, 1.57287884993899074e+00, 8.48971318839445155e-02, 1.70319159457070200e+04
 2.05873324799186115e+01, 1.10994264001540374e-01, 8.16622231756067208e+02, 1.10993344057984722e-01,-1.42018814637261125e-10, 2.11340453100639716e-02,-4.25854451355548491e+01, 1.57575182281630455e+00, 8.50747670921165322e-02, 1.70319222612105150e+04
 2.06094743785087928e+01, 1.10994731170865460e-01, 8.16623863482331217e+02, 1.10993797013313467e-01,-1.41645268690386115e-10, 2.11342148594465748e-02,-4.24842493134229215e+01, 1.57964666642358997e+00, 8.53153687796541493e-02, 1.70319302049368926e+04
 2.06316162770989742e+01, 1.10995201319561101e-01, 8.16625495151181553e+02, 1.10994256531885493e-01,-1.41136013488033985e-10, 2.11343854907148250e-02,-4.23542326187413067e+01, 1.58465632465888984e+00, 8.56248436160848003e-02, 1.70319399253677766e+04
