"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 1.04992346605143439e+03, 3.68276672472514999e-01, 2.21352117216840895e+02, 2.37336787273256844e+00, 5.39639964093625935e+01, 1.58267850531285725e-01,-8.24875261984016248e+01, 3.24534746957615416e-02,-7.85739593351362786e-02, 1.70382210125393540e+04
 1.05040249384628714e+03, 3.66198300541421884e-01, 2.20496882943469558e+02, 2.28879659780423550e+00, 5.17433518230137963e+01, 1.57108435560990772e-01,-8.25810290965677183e+01, 2.87605659689657116e-02,-7.81460664840889913e-02, 1.70382248028562826e+04
 1.05088152164113990e+03, 3.64105595343294230e-01, 2.19728162940883720e+02, 2.20649038216412796e+00, 4.95842050680210917e+01, 1.55938385755434727e-01,-8.26642611616214253e+01, 2.54733474590045431e-02,-7.76831438762191212e-02, 1.70382285794933341e+04
 1.05136054943599265e+03, 3.62001818505842066e-01, 2.19043086773808199e+02, 2.12645256503639324e+00, 4.74861430081295595e+01, 1.54759525708480200e-01,-8.27382123806440006e+01, 2.25527100891254814e-02,-7.71893158887329983e-02, 1.70382323367131030e+04
 1.05183957723084541e+03, 3.59890040004961220e-01, 2.18438855109491357e+02, 2.04865806691746055e+00, 4.54490844297798446e+01, 1.53573591018701966e-01,-8.28037915382479781e+01, 1.99627533766942866e-02,-7.66683815668516011e-02, 1.70382360694033814e+04
 1.05231860502569816e+03, 3.57773171329237638e-01, 2.17912719139854261e+02, 1.97310976290707440e+00, 4.34729444221564520e+01, 1.52382245304111791e-01,-8.28618299935692590e+01, 1.76706360535127498e-02,-7.61238395135407225e-02, 1.70382397730246048e+04
 1.05279763282055092e+03, 3.55654018857965604e-01, 2.17461976785333860e+02, 1.89984132774605219e+00, 4.15576697269998192e+01, 1.51187108817682714e-01,-8.29130682648885227e+01, 1.56471056357831879e-02,-7.55588727518521214e-02, 1.70382434435566138e+04
 1.05327666061540367e+03, 3.53535265888745676e-01, 2.17083973494704850e+02, 1.82885327711072154e+00, 3.97033754474360094e+01, 1.49989747031221643e-01,-8.29581848977543075e+01, 1.38653582137204592e-02,-7.49764252967230760e-02, 1.70382470774576250e+04
 1.05375568841025643e+03, 3.51419475342128806e-01, 2.16776092023976361e+02, 1.76014507351928406e+00, 3.79101446893442855e+01, 1.48791670778712498e-01,-8.29977948087309869e+01, 1.23011037030964967e-02,-7.43792015375707161e-02, 1.70382506716207718e+04
 1.05423471620510918e+03, 3.49309054757520221e-01, 2.16535751700550463e+02, 1.69368100102949093e+00, 3.61780030779209625e+01, 1.47594314983980707e-01,-8.30324627995826887e+01, 1.09320320357459456e-02,-7.37696939725221018e-02, 1.70382542233401909e+04
