environment.time,calcium_concentration.Cai,calcium_concentration.CaJSR,calcium_concentration.Cass,calcium_fluxes.J_rel,calcium_fluxes.J_up,membrane.V,non_inactivating_steady_state_potassium_current.i_Kss,sodium_calcium_exchange_current.i_NaCa,sodium_concentration.Nai,,,,39.56253578,0,0.402386637,0.282421675
2.06E+01,1.20E-01,7.78E+02,1.20E-01,2.31E-12,1.68E-02,-4.24E+01,1.58E+00,8.42E-02,1.70E+04,,,,63.34565885,23.78312308,0.313426898,0.193461936
2.07E+01,1.20E-01,7.78E+02,1.20E-01,3.34E-12,1.68E-02,-4.21E+01,1.59E+00,8.49E-02,1.70E+04,,,,63.42838249,23.86584671,0.313127736,0.193162774
2.07E+01,1.20E-01,7.78E+02,1.20E-01,5.31E-12,1.68E-02,-4.17E+01,1.61E+00,8.58E-02,1.70E+04,,,,63.4777865,23.91525072,0.312949721,0.192984759
2.07E+01,1.20E-01,7.78E+02,1.20E-01,8.95E-12,1.69E-02,-4.12E+01,1.63E+00,8.70E-02,1.70E+04,,,,63.52719051,23.96465473,0.312772067,0.192807105
2.08E+01,1.20E-01,7.78E+02,1.20E-01,1.57E-11,1.69E-02,-4.06E+01,1.65E+00,8.84E-02,1.70E+04,,,,63.57659452,24.01405874,0.312594729,0.192629767
2.08E+01,1.20E-01,7.78E+02,1.20E-01,2.79E-11,1.69E-02,-3.99E+01,1.68E+00,9.02E-02,1.70E+04,,,,63.62599853,24.06346275,0.312417694,0.192452732
2.09E+01,1.20E-01,7.78E+02,1.20E-01,5.01E-11,1.69E-02,-3.90E+01,1.71E+00,9.24E-02,1.70E+04,,,,63.67540254,24.11286676,0.312240977,0.192276015
2.09E+01,1.20E-01,7.78E+02,1.20E-01,8.88E-11,1.69E-02,-3.80E+01,1.75E+00,9.50E-02,1.70E+04,,,,63.72480655,24.16227077,0.312064578,0.192099616
2.09E+01,1.20E-01,7.78E+02,1.20E-01,1.53E-10,1.69E-02,-3.68E+01,1.80E+00,9.81E-02,1.70E+04,,,,63.77421056,24.21167478,0.3118885,0.191923538
2.10E+01,1.20E-01,7.78E+02,1.20E-01,2.53E-10,1.69E-02,-3.53E+01,1.86E+00,1.02E-01,1.70E+04,,,,63.85005502,24.28751924,0.311618807,0.191653845
2.10E+01,1.20E-01,7.78E+02,1.20E-01,4.04E-10,1.69E-02,-3.36E+01,1.92E+00,1.06E-01,1.70E+04,,,,63.92589947,24.3633637,0.311349864,0.191384902
2.10E+01,1.20E-01,7.78E+02,1.20E-01,6.35E-10,1.69E-02,-3.17E+01,2.00E+00,1.11E-01,1.70E+04,,,,64.2199814,24.65744563,0.310314148,0.190349186
2.11E+01,1.20E-01,7.78E+02,1.20E-01,9.97E-10,1.69E-02,-2.93E+01,2.09E+00,1.18E-01,1.70E+04,,,,64.71105566,25.14851989,0.308609767,0.188644805
2.11E+01,1.20E-01,7.78E+02,1.20E-01,1.58E-09,1.69E-02,-2.66E+01,2.19E+00,1.25E-01,1.70E+04,,,,65.20212992,25.63959415,0.306936718,0.186971756
2.11E+01,1.20E-01,7.78E+02,1.20E-01,2.53E-09,1.69E-02,-2.35E+01,2.31E+00,1.34E-01,1.70E+04,,,,65.97290854,26.41037277,0.304373588,0.184408626
2.12E+01,1.20E-01,7.78E+02,1.20E-01,4.12E-09,1.69E-02,-1.98E+01,2.46E+00,1.45E-01,1.70E+04,,,,66.74368717,27.18115139,0.301886504,0.181921542
2.12E+01,1.20E-01,7.78E+02,1.20E-01,5.40E-09,1.69E-02,-1.76E+01,2.54E+00,1.51E-01,1.70E+04,,,,67.90137524,28.33883946,0.298291047,0.178326085
2.12E+01,1.20E-01,7.78E+02,1.20E-01,7.21E-09,1.69E-02,-1.53E+01,2.63E+00,1.58E-01,1.70E+04,,,,69.7149867,30.15245093,0.292985451,0.173020489
2.12E+01,1.20E-01,7.78E+02,1.20E-01,9.88E-09,1.69E-02,-1.29E+01,2.72E+00,1.66E-01,1.70E+04,,,,71.52859816,31.96606239,0.288059476,0.168094514
2.13E+01,1.20E-01,7.78E+02,1.20E-01,1.42E-08,1.69E-02,-1.03E+01,2.82E+00,1.74E-01,1.70E+04,,,,73.34220963,33.77967385,0.28348797,0.163523008
2.13E+01,1.20E-01,7.78E+02,1.20E-01,1.85E-08,1.69E-02,-8.67E+00,2.89E+00,1.80E-01,1.70E+04,,,,75.15582109,35.59328531,0.279244836,0.159279874
2.13E+01,1.20E-01,7.78E+02,1.20E-01,2.52E-08,1.69E-02,-6.95E+00,2.95E+00,1.86E-01,1.70E+04,,,,76.96943255,37.40689678,0.275304834,0.155339872
2.13E+01,1.20E-01,7.78E+02,1.20E-01,3.59E-08,1.69E-02,-5.20E+00,3.02E+00,1.92E-01,1.70E+04,,,,78.78304401,39.22050824,0.27164352,0.151678558
2.13E+01,1.20E-01,7.78E+02,1.20E-01,5.45E-08,1.69E-02,-3.44E+00,3.09E+00,1.98E-01,1.70E+04,,,,80.59665548,41.0341197,0.268235984,0.148271022
2.13E+01,1.20E-01,7.78E+02,1.20E-01,8.68E-08,1.69E-02,-1.66E+00,3.16E+00,2.04E-01,1.70E+04,,,,82.41026694,42.84773116,0.265056379,0.145091417
2.13E+01,1.20E-01,7.78E+02,1.20E-01,1.45E-07,1.69E-02,1.14E-01,3.23E+00,2.11E-01,1.70E+04,,,,83.53855086,43.97601509,0.263183624,0.143218662
2.13E+01,1.20E-01,7.78E+02,1.20E-01,2.51E-07,1.69E-02,1.88E+00,3.29E+00,2.17E-01,1.70E+04,,,,84.66683479,45.10429901,0.261386482,0.14142152
2.14E+01,1.20E-01,7.78E+02,1.20E-01,4.46E-07,1.69E-02,3.62E+00,3.36E+00,2.24E-01,1.70E+04,,,,85.79511872,46.23258294,0.259660578,0.139695616
2.14E+01,1.20E-01,7.78E+02,1.20E-01,8.03E-07,1.69E-02,5.32E+00,3.43E+00,2.30E-01,1.70E+04,,,,86.92340264,47.36086686,0.258001675,0.138036713
2.14E+01,1.20E-01,7.78E+02,1.20E-01,1.44E-06,1.69E-02,6.98E+00,3.49E+00,2.37E-01,1.70E+04,,,,88.70501404,49.14247826,0.25550902,0.135544058
2.14E+01,1.20E-01,7.78E+02,1.20E-01,2.54E-06,1.69E-02,8.59E+00,3.56E+00,2.43E-01,1.70E+04,,,,90.48662544,50.92408966,0.253158786,0.133193824
2.14E+01,1.20E-01,7.78E+02,1.20E-01,4.39E-06,1.69E-02,1.01E+01,3.62E+00,2.50E-01,1.70E+04,,,,92.26823684,52.70570106,0.250937533,0.130972571
2.14E+01,1.20E-01,7.78E+02,1.20E-01,7.37E-06,1.69E-02,1.16E+01,3.67E+00,2.56E-01,1.70E+04,,,,95.52514483,55.96260905,0.247171917,0.127206955
2.14E+01,1.20E-01,7.78E+02,1.20E-01,1.20E-05,1.69E-02,1.30E+01,3.73E+00,2.62E-01,1.70E+04,,,,98.78205282,59.21951704,0.243733882,0.12376892
2.14E+01,1.20E-01,7.78E+02,1.21E-01,1.89E-05,1.69E-02,1.44E+01,3.78E+00,2.68E-01,1.70E+04,,,,102.0389608,62.47642503,0.240569752,0.12060479
2.14E+01,1.20E-01,7.78E+02,1.21E-01,2.88E-05,1.69E-02,1.57E+01,3.83E+00,2.73E-01,1.70E+04,,,,105.2958688,65.73333302,0.237636286,0.117671324
2.15E+01,1.20E-01,7.78E+02,1.22E-01,4.27E-05,1.69E-02,1.69E+01,3.88E+00,2.78E-01,1.70E+04,,,,108.5527768,68.99024101,0.234898386,0.114933424
2.15E+01,1.20E-01,7.78E+02,1.23E-01,6.14E-05,1.69E-02,1.80E+01,3.92E+00,2.83E-01,1.70E+04,,,,111.8096848,72.247149,0.232327079,0.112362117
2.15E+01,1.20E-01,7.78E+02,1.24E-01,8.61E-05,1.69E-02,1.90E+01,3.96E+00,2.88E-01,1.70E+04,,,,115.0665928,75.50405699,0.229898479,0.109933517
2.15E+01,1.20E-01,7.78E+02,1.26E-01,1.18E-04,1.69E-02,2.00E+01,4.00E+00,2.93E-01,1.70E+04,,,,118.3235008,78.76096498,0.227592934,0.107627972
2.15E+01,1.20E-01,7.78E+02,1.28E-01,1.58E-04,1.69E-02,2.09E+01,4.04E+00,2.97E-01,1.70E+04,,,,121.5804087,82.01787296,0.225394063,0.105429101
