"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 3.02241884372623826e+03, 1.21195384961502020e-01, 8.04738250686750348e+02, 1.42425168727906359e+00, 2.92619098112536113e-01, 1.76685430702050381e-02, 2.39308784369178760e+01, 4.21888481354301526e+00, 3.11138229267145794e-01, 1.70426368318850109e+04
 3.02242329324923048e+03, 1.21203873188015496e-01, 8.04738175679081792e+02, 1.43054331213838548e+00, 3.01353137451324860e-01, 1.76739499984254270e-02, 2.38422906134821950e+01, 4.21567594241306765e+00, 3.10710372066279605e-01, 1.70426387044416151e+04
 3.02242774277222270e+03, 1.21212400862104649e-01, 8.04738093678194787e+02, 1.44007304178475959e+00, 3.10292714778517831e-01, 1.76793822575552276e-02, 2.37533194085042254e+01, 4.21245084251779378e+00, 3.10281118375314191e-01, 1.70426405681369069e+04
 3.02243219229521492e+03, 1.21220974303546156e-01, 8.04738004550116216e+02, 1.44609515751326145e+00, 3.19519623100063599e-01, 1.76848438827453304e-02, 2.36639688737782308e+01, 4.20920966756904225e+00, 3.09850492742318406e-01, 1.70426424229888325e+04
 3.02243664181820714e+03, 1.21229577779624717e-01, 8.04737908121507530e+02, 1.44837631133152267e+00, 3.29066765932399641e-01, 1.76903248370625411e-02, 2.35742430414128705e+01, 4.20595257058362826e+00, 3.09418520396283037e-01, 1.70426442690148615e+04
 3.02244109134119935e+03, 1.21238203659948043e-01, 8.04737804099636946e+02, 1.45513753550906211e+00, 3.38845463924121570e-01, 1.76958202528802247e-02, 2.34841459263531860e+01, 4.20267970398261959e+00, 3.08985226101134436e-01, 1.70426461062320268e+04
 3.02244437605239591e+03, 1.21244598544711119e-01, 8.04737722283791868e+02, 1.46319061986152810e+00, 3.46195128958759368e-01, 1.76998944711256774e-02, 2.34173988824920691e+01, 4.20025359125548370e+00, 3.08664526716277976e-01, 1.70426474568540871e+04
 3.02244766076359247e+03, 1.21251021471989809e-01, 8.04737636165075855e+02, 1.46739912239455794e+00, 3.53737694318428608e-01, 1.77039866765740586e-02, 2.33504532844979771e+01, 4.19781902828916476e+00, 3.08343129281136108e-01, 1.70426488026912630e+04
 3.02245094547478902e+03, 1.21257460872544229e-01, 8.04737545662214075e+02, 1.46909863625602344e+00, 3.61476007010886224e-01, 1.77080894868814898e-02, 2.32833107277796181e+01, 4.19537607570708104e+00, 3.08021043913684733e-01, 1.70426501437500046e+04
 3.02245423018598558e+03, 1.21263911408132405e-01, 8.04737450626150462e+02, 1.47427289390589022e+00, 3.69338944204238184e-01, 1.77121994957802308e-02, 2.32159728031749673e+01, 4.19292479397653306e+00, 3.07698280447837758e-01, 1.70426514800366640e+04
 3.02245751489718214e+03, 1.21270383541087268e-01, 8.04737350954167937e+02, 1.48179519362689205e+00, 3.77328417753107603e-01, 1.77163233812772831e-02, 2.31484410974924621e+01, 4.19046524343003135e+00, 3.07374848060686545e-01, 1.70426528115574984e+04
 3.02246079960837869e+03, 1.21276882592013732e-01, 8.04737246606177109e+02, 1.48575986218014955e+00, 3.85522345175311310e-01, 1.77204645402818071e-02, 2.30807171918114875e+01, 4.18799748419843887e+00, 3.07050756077714038e-01, 1.70426541383186741e+04
 3.02246408431957525e+03, 1.21283398304137410e-01, 8.04737137492562852e+02, 1.48733067566285482e+00, 3.93924186089869455e-01, 1.77246164273878876e-02, 2.30128026608486245e+01, 4.18552157618603360e+00, 3.06726014379824996e-01, 1.70426554603262775e+04
 3.02246736903077181e+03, 1.21289925426510029e-01, 8.04737023456418001e+02, 1.49255045083826499e+00, 4.02458015442940187e-01, 1.77287756917201104e-02, 2.29446990746274153e+01, 4.18303757913625596e+00, 3.06400632609280243e-01, 1.70426567775863186e+04
 3.02247065374196836e+03, 1.21296474397548190e-01, 8.04736904389318056e+02, 1.50027463636227210e+00, 4.11126016366409386e-01, 1.77329489967083566e-02, 2.28764079991965232e+01, 4.18054555266000438e+00, 3.06074619751951160e-01, 1.70426580901047346e+04
 3.02247393845316492e+03, 1.21303050440422042e-01, 8.04736780250051311e+02, 1.50420842535078969e+00, 4.20016176081494053e-01, 1.77371396774328692e-02, 2.28079309950439679e+01, 4.17804555617325235e+00, 3.05747984946949602e-01, 1.70426593978873971e+04
 3.02247722316436148e+03, 1.21309642666293904e-01, 8.04736650942371170e+02, 1.50551028507535967e+00, 4.29133489405408797e-01, 1.77413407843765719e-02, 2.27392696164394046e+01, 4.17553764887115708e+00, 3.05420737914468721e-01, 1.70426607009401159e+04
 3.02248050787555803e+03, 1.21316245791627128e-01, 8.04736516293153159e+02, 1.51079796490843510e+00, 4.38389411117788064e-01, 1.77455489455072002e-02, 2.26704254130900082e+01, 4.17302188979328648e+00, 3.05092888111813287e-01, 1.70426619992686428e+04
 3.02248379258675459e+03, 1.21322871418271014e-01, 8.04736376184487881e+02, 1.51890340077007546e+00, 4.47784472544822787e-01, 1.77497715676165138e-02, 2.26013999308307092e+01, 4.17049833785081869e+00, 3.04764444288940728e-01, 1.70426632928786748e+04
 3.02248707729795115e+03, 1.21329524970474431e-01, 8.04736230578842537e+02, 1.52272842352546456e+00, 4.57423472484771554e-01, 1.77540121145331221e-02, 2.25321947099374711e+01, 4.16796705176017035e+00, 3.04435415388082720e-01, 1.70426645817758690e+04
